iter	Passed	Remaining
0	144	144350
1	145	72801
2	147	48939
3	148	37030
4	150	29860
5	151	25092
6	152	21682
7	154	19148
8	156	17184
9	157	15621
10	159	14326
11	160	13232
12	162	12322
13	163	11546
14	165	10857
15	166	10251
16	168	9726
17	169	9266
18	171	8841
19	173	8489
20	175	8158
21	176	7851
22	178	7569
23	179	7302
24	181	7059
25	182	6837
26	183	6630
27	185	6434
28	186	6259
29	188	6099
30	190	5941
31	191	5791
32	193	5657
33	194	5523
34	195	5400
35	197	5282
36	198	5167
37	199	5059
38	201	4957
39	202	4859
40	203	4769
41	205	4681
42	206	4596
43	207	4516
44	209	4439
45	210	4364
46	211	4289
47	212	4222
48	214	4155
49	215	4089
50	216	4031
51	218	3976
52	219	3922
53	220	3869
54	222	3817
55	223	3765
56	224	3718
57	226	3671
58	227	3626
59	228	3585
60	230	3544
61	232	3510
62	233	3473
63	234	3434
64	236	3398
65	237	3361
66	238	3325
67	240	3289
68	241	3257
69	242	3224
70	244	3192
71	245	3161
72	246	3132
73	247	3103
74	249	3074
75	250	3045
76	251	3018
77	253	2991
78	254	2964
79	255	2938
80	256	2913
81	258	2888
82	258	2858
83	260	2835
84	261	2814
85	262	2792
86	264	2771
87	265	2750
88	266	2729
89	267	2709
90	269	2689
91	270	2668
92	271	2649
93	272	2630
94	274	2612
95	275	2595
96	276	2578
97	278	2561
98	279	2544
99	280	2527
100	282	2511
101	283	2494
102	284	2479
103	285	2462
104	287	2448
105	288	2434
106	290	2420
107	291	2406
108	292	2392
109	293	2378
110	295	2363
111	296	2349
112	297	2337
113	299	2324
114	300	2311
115	301	2298
116	302	2284
117	303	2271
118	305	2261
119	306	2250
120	308	2238
121	309	2225
122	310	2213
123	311	2202
124	313	2191
125	314	2179
126	315	2167
127	316	2156
128	317	2146
129	319	2135
130	320	2126
131	321	2116
132	323	2106
133	324	2096
134	325	2086
135	326	2076
136	328	2067
137	329	2057
138	330	2047
139	331	2038
140	333	2029
141	333	2017
142	335	2010
143	337	2003
144	338	1995
145	339	1987
146	340	1978
147	342	1969
148	343	1962
149	344	1954
150	346	1948
151	347	1940
152	349	1933
153	350	1928
154	352	1920
155	353	1913
156	355	1906
157	356	1899
158	357	1891
159	358	1883
160	359	1874
161	361	1867
162	362	1860
163	363	1853
164	365	1848
165	366	1841
166	367	1834
167	369	1827
168	370	1821
169	371	1814
170	372	1807
171	374	1801
172	375	1794
